belief_speaking
admittedly
basically
believe
certainly
clearly
confide
consider
definitely
doubtless
envisage
feel
frankly
guess
honestly
indeed
no doubt
observe
obvious
obviously
of course
opinion
plainly
position
presume
probably
really
seem
sensation
sentiment
suggestion
suppose
sure
surely
think
truly
trust
undoubtedly
view
