truth_seeking
actually
analyze
assert
assertion
assess
claim
contemplate
contention
correct
correction
determine
estimate
evaluate
evidence
examine
exploration
explore
fact
find
genuinely
hint
improvement
information
inspect
investigate
judge
look
overhaul
ponder
proof
prove
question
quiz
rate
real
reality
rectify
reflect
research
revise
sample
scrutinize
science
search
signal
specify
suggest
supervise
tentative
test
testimony
trace
track
trial
truth
try
validate
verify
virtually
witness
